,room,token_id,rule_name,rule_description,prior,posterior,prior_accuracy,posterior_accuracy,prior_feedback,posterior_feedback,label_init,label_rev,,init_c,rev_c,,init_u,rev_u,,init_o,rev_o,,d_init,d_rev,,n_init,n_rev,
0,p3GmbED9fU,MtEvu0o0rASdzj0RAAAB,Kappa,at least one is blue AND small,"[False, False, True, False, False, False, False, False]","[False, True, False, True, False, False, False, False]",0.625,0.75,I think that the small blue cone aids in the kappa waves radiation. I think there must be at least one small blue cone  standing up in order to emit the radiation.,I believe that the small blue cone standing up is what help emit the radiation. The cone on its side does not have the same affect.,o,o,,0,0,,0,0,,1,1,,0,0,,0,0,
1,p3GmbED9fU,MtEvu0o0rASdzj0RAAAB,Omega,all are blue OR small,"[False, True, False, True, False, True, True, False]","[False, True, False, True, False, True, True, False]",0.5,0.5,The medium blue triangle is what makes the omega waves,I believe the medium blue triangle emits the radiation,d,d,,0,0,,0,0,,0,0,,1,1,,0,0,
2,p3GmbED9fU,MtEvu0o0rASdzj0RAAAB,Zeta,there is a red,"[True, True, True, True, False, False, False, False]","[True, True, True, True, False, False, False, False]",1,1,Any red triangle will generate the radiation,Any red triangle will generate the radiation,c,c,,1,1,,0,0,,0,0,,0,0,,0,0,
3,p3GmbED9fU,MtEvu0o0rASdzj0RAAAB,Iota,one is blue,"[True, True, True, True, True, True, True, False]","[True, True, True, True, True, True, True, False]",0.625,0.625,Any blue triangle will emit the radiation,Any blue triangle will make the radiation emit.,u,u,,0,0,,1,1,,0,0,,0,0,,0,0,
4,p3GmbED9fU,MtEvu0o0rASdzj0RAAAB,Upsilon,none are upright,"[True, True, False, True, False, False, True, False]","[True, True, False, True, False, False, True, False]",0.75,0.75,It must contain a medium or small red triangle and the other color triangles cannot be standing.,must contain small or medium red triangle and other color triangle cannot be standing,d,d,,0,0,,0,0,,0,0,,1,1,,0,0,
5,p3GmbED9fU,2EKEeW5nXgfElliSAAAC,Kappa,at least one is blue AND small,"[False, False, True, False, False, False, False, False]","[False, False, True, False, False, False, False, False]",0.625,0.625,There must be at least 2 purple cones 3 standing at least as well,There must be at least 5 cones standing of green purple or red some can be contained inside.,d,d,,0,0,,0,0,,0,0,,1,1,,0,0,
6,p3GmbED9fU,2EKEeW5nXgfElliSAAAC,Omega,all are blue OR small,"[False, True, False, False, False, False, False, False]","[False, False, False, False, True, False, False, False]",0.625,0.375,must contain at least 2 green 3 at most 1 purple at least 2 at most,There must be at least 3 standing cones and no more than 4 of red green or purple,d,d,,0,0,,0,0,,0,0,,1,1,,0,0,
7,p3GmbED9fU,2EKEeW5nXgfElliSAAAC,Zeta,there is a red,"[False, False, False, False, False, False, True, False]","[True, False, True, False, False, False, False, False]",0.375,0.75,must contain 3 objects standing or not at least one of each color,Must contain at least one red obect and no more than 5 uncertain of the other requirements,d,o,,0,0,,0,0,,0,1,,1,0,,0,0,
8,p3GmbED9fU,2EKEeW5nXgfElliSAAAC,Iota,one is blue,"[False, True, True, False, False, False, False, False]","[False, False, False, True, False, False, False, False]",0.75,0.625,Must contain at least one medium sized cone but no more than 4 ,Must contain at least one small cone up to four no more than 2 large or 4 total,d,d,,0,0,,0,0,,0,0,,1,1,,0,0,
9,p3GmbED9fU,2EKEeW5nXgfElliSAAAC,Upsilon,none are upright,"[False, True, False, False, False, False, False, True]","[False, False, True, False, False, False, False, False]",0.5,0.625,This one I have no idea what the rule is no more than 3 objects. ,There must be at least one object but no more than 3,d,d,,0,0,,0,0,,0,0,,1,1,,0,0,
10,BtpIWWhmd0,M13t0_SqWkkfwBKJAAAG,Iota,one is blue,"[True, True, False, True, False, False, False, False]","[False, False, True, False, False, True, False, True]",0.875,0.375,They are must be similar.,They are at most possible.,n,n,,0,0,,0,0,,0,0,,0,0,,1,1,
11,BtpIWWhmd0,M13t0_SqWkkfwBKJAAAG,Kappa,at least one is blue AND small,"[False, True, True, True, False, True, False, False]","[True, False, False, False, False, False, True, True]",0.75,0.375,That are must be same.,They are most equally,n,n,,0,0,,0,0,,0,0,,0,0,,1,1,
12,BtpIWWhmd0,M13t0_SqWkkfwBKJAAAG,Zeta,there is a red,"[True, False, False, False, False, False, True, True]","[False, True, False, True, False, True, False, False]",0.375,0.625,They are most simple.,They are most similar.,n,n,,0,0,,0,0,,0,0,,0,0,,1,1,
13,BtpIWWhmd0,M13t0_SqWkkfwBKJAAAG,Upsilon,none are upright,"[True, True, False, True, False, False, False, False]","[False, False, False, False, True, True, True, False]",0.875,0.125,They are mostly not accurate,They are more similar,n,n,,0,0,,0,0,,0,0,,0,0,,1,1,
14,BtpIWWhmd0,M13t0_SqWkkfwBKJAAAG,Omega,all are blue OR small,"[False, False, False, True, True, True, False, False]","[True, True, False, False, False, False, False, True]",0.375,0.625,They are at most repeated,They are most related.,n,n,,0,0,,0,0,,0,0,,0,0,,1,1,
15,BtpIWWhmd0,r7iNHo-YDufvj4ttAAAF,Iota,one is blue,"[True, True, False, False, True, False, True, False]","[False, False, True, False, False, False, False, True]",0.5,0.5,"A blue or red triangle must be at an angle. 
There can be a green in any position
Red can be in any position","There does not have to be all three colors.
Blue must present
Red can be in any position",d,d,,0,0,,0,0,,0,0,,1,1,,0,0,
16,BtpIWWhmd0,r7iNHo-YDufvj4ttAAAF,Kappa,at least one is blue AND small,"[False, True, False, False, True, False, False, True]","[False, False, True, False, False, False, True, False]",0.375,0.5,"Red does not need to be present
Varying sizes are acceptable","As few as three are allowed
There should be a green",d,d,,0,0,,0,0,,0,0,,1,1,,0,0,
17,BtpIWWhmd0,r7iNHo-YDufvj4ttAAAF,Zeta,there is a red,"[True, True, True, True, False, False, False, False]","[True, True, True, True, False, False, False, False]",1,1,"There must be at least one red
There can be exactly one red in total.",There must be at least one red,c,c,,1,1,,0,0,,0,0,,0,0,,0,0,
18,BtpIWWhmd0,r7iNHo-YDufvj4ttAAAF,Upsilon,none are upright,"[True, True, True, True, False, True, False, True]","[True, True, True, True, False, True, False, True]",0.75,0.75,"Red should be on its side
There can be as few as 2 red",Red must be on a side and not standing straight,d,d,,0,0,,0,0,,0,0,,1,1,,0,0,
19,BtpIWWhmd0,r7iNHo-YDufvj4ttAAAF,Omega,all are blue OR small,"[False, False, True, False, True, True, True, False]","[False, True, True, True, True, True, True, False]",0.25,0.5,"There does not have to be a red
You can have all blue",There can be only blue,d,d,,0,0,,0,0,,0,0,,1,1,,0,0,
20,U1zleaHAX3,E1SpkGS9NTgV8u12AAAR,Omega,all are blue OR small,"[False, False, False, False, True, False, False, False]","[False, False, False, True, False, False, False, False]",0.375,0.625,There is at least two smaller cones.,There is at least two smaller cones.,d,d,,0,0,,0,0,,0,0,,1,1,,0,0,
21,U1zleaHAX3,E1SpkGS9NTgV8u12AAAR,Upsilon,none are upright,"[False, False, False, True, False, False, False, False]","[False, False, False, True, False, False, False, False]",0.625,0.625,There must be at most three slanting cones.,There must at least three slanting cones.,o,o,,0,0,,0,0,,1,1,,0,0,,0,0,
22,U1zleaHAX3,E1SpkGS9NTgV8u12AAAR,Kappa,at least one is blue AND small,"[True, False, False, False, False, False, False, False]","[True, False, False, False, False, False, False, False]",0.625,0.625,There is at least a mixture of big and small cones.,There is at least one big and small cone.,d,d,,0,0,,0,0,,0,0,,1,1,,0,0,
23,U1zleaHAX3,E1SpkGS9NTgV8u12AAAR,Iota,one is blue,"[False, False, False, False, False, False, True, False]","[False, False, False, False, False, False, True, False]",0.375,0.375,"There is at least a mixture of red, blue and green cones.","There is at least a mixture of red, blue and green cones.",n,n,,0,0,,0,0,,0,0,,0,0,,1,1,
24,U1zleaHAX3,E1SpkGS9NTgV8u12AAAR,Zeta,there is a red,"[True, False, False, False, False, False, False, False]","[True, False, False, False, False, False, False, False]",0.625,0.625,There is at least a mixture of both red and green cones.,There is at least a mixture of both red and green cones.,o,o,,0,0,,0,0,,1,1,,0,0,,0,0,
25,U1zleaHAX3,ijO29Ey-fm1vE_ApAAAQ,Omega,all are blue OR small,"[False, True, False, True, False, False, False, False]","[False, True, False, False, False, False, False, False]",0.75,0.625,"There must be at least one blue cone, and it must be the largest object present; there must also be no red cones present.","There must be at least one blue cone present, and it must be the single largest cone present; there cannot be any red cones present. Orientation of the blue cone doesn't appear to matter.",u,u,,0,0,,1,1,,0,0,,0,0,,0,0,
26,U1zleaHAX3,ijO29Ey-fm1vE_ApAAAQ,Upsilon,none are upright,"[True, True, True, True, False, False, False, False]","[True, True, True, True, False, False, False, False]",1,1,"There must not be any upright cones present; color and size don't appear to matter, so long as this orientation requirement is met.","There must not be a single cone present that is upright. So long as this orientation is met, color, size, and number of cones doesn't appear to matter.",c,c,,1,1,,0,0,,0,0,,0,0,,0,0,
27,U1zleaHAX3,ijO29Ey-fm1vE_ApAAAQ,Kappa,at least one is blue AND small,"[True, True, True, True, False, False, False, False]","[True, False, True, False, False, False, False, False]",1,0.75,"There must be at least two blue cones present. The presence of other colors/sizes/orientations doesn't appear to matter, but it MIGHT need to be one small blue cone with one medium blue cone.","There must be at least two blue cones present, possibly needing to include at least one small-sized and one medium-sized. Other colors and sizes don't appear to matter. A possible variation is that at least two blue cones of the same orientation must be present.",o,o,,0,0,,0,0,,1,1,,0,0,,0,0,
28,U1zleaHAX3,ijO29Ey-fm1vE_ApAAAQ,Iota,one is blue,"[True, False, False, True, True, True, False, True]","[True, False, False, False, False, True, False, True]",0.375,0.375,"There must be at least two cones present that are upright, one of which must be red.","There must be at least three cones present, with at least one of them being red. The majority of the cones possibly need to have a similar orientation to the red cone.",d,d,,0,0,,0,0,,0,0,,1,1,,0,0,
29,U1zleaHAX3,ijO29Ey-fm1vE_ApAAAQ,Zeta,there is a red,"[False, False, False, False, True, False, True, True]","[True, False, False, False, True, False, True, True]",0.125,0.25,"One cone must be stacked or nestled within another. The color of the nested cones doesn't matter, nor does the size, but they may need to both be upright.","There can be at least one pair of cones that are stacked or nested within eachother. If at least one red cone is present, this rule can be disregarded. Other colors, sizes, or orientations don't appear to matter.",d,d,,0,0,,0,0,,0,0,,1,1,,0,0,
30,zOFxssGifq,xJIHTzH_6xnTxFlRAAAa,Kappa,at least one is blue AND small,"[False, True, False, False, False, False, False, False]","[False, False, True, True, True, True, False, False]",0.625,0.5,There must be at least one green cone on top of either a blue or green smaller cone. ," A green cone on top of a blue cone, a small blue cone on its side, at least two blue cones together.",d,d,,0,0,,0,0,,0,0,,1,1,,0,0,
31,zOFxssGifq,xJIHTzH_6xnTxFlRAAAa,Zeta,there is a red,"[True, True, True, True, True, True, False, True]","[True, True, True, False, False, False, False, True]",0.625,0.75,Any cone on its side.,Any cone on its side. Any red cone on its own. ,d,o,,0,0,,0,0,,0,1,,1,0,,0,0,
32,zOFxssGifq,xJIHTzH_6xnTxFlRAAAa,Omega,all are blue OR small,"[False, True, False, False, False, False, False, False]","[True, True, False, False, False, False, False, False]",0.625,0.75,Any small blue or green cone stacked.,Any small cone alone except for red. ,d,d,,0,0,,0,0,,0,0,,1,1,,0,0,
33,zOFxssGifq,xJIHTzH_6xnTxFlRAAAa,Iota,one is blue,"[True, True, False, True, False, True, True, False]","[False, True, False, True, False, True, True, False]",0.625,0.5,Any blue or green cone with less than two red cones and are not stacked. ,Any blue cone thats on its side. One of each color cone. ,d,d,,0,0,,0,0,,0,0,,1,1,,0,0,
34,zOFxssGifq,xJIHTzH_6xnTxFlRAAAa,Upsilon,none are upright,"[True, True, True, True, False, False, False, False]","[True, True, True, True, False, False, False, False]",1,1,Any cone on its side. Cannot have any cones standing upright. ,Any cone on its side. Cannot have any cones standing upright. ,c,c,,1,1,,0,0,,0,0,,0,0,,0,0,
35,zOFxssGifq,VpvPjmHNp4f3c7RjAAAZ,Kappa,at least one is blue AND small,"[True, True, True, True, False, False, False, False]","[True, True, True, True, False, False, False, False]",1,1,There must be at least one small blue cone in any orientation or position.,There must be at least one small blue cone in any orientation or position.,c,c,,1,1,,0,0,,0,0,,0,0,,0,0,
36,zOFxssGifq,VpvPjmHNp4f3c7RjAAAZ,Zeta,there is a red,"[True, True, True, True, False, False, False, False]","[True, True, True, True, False, False, False, False]",1,1,There must be at least one red cone of any size in any orientation or position.,There must be at least 1 red cone of any size in any position or orientation.,c,c,,1,1,,0,0,,0,0,,0,0,,0,0,
37,zOFxssGifq,VpvPjmHNp4f3c7RjAAAZ,Omega,all are blue OR small,"[False, True, True, True, True, True, True, False]","[False, True, False, False, False, False, False, False]",0.5,0.625,There must be either a small green cone or a blue cone of any size.  These can be in any position or orientation.,"There must be either a small green cone or a blue cone of any size in any orientation or position, but there can be no red cones.",d,d,,0,0,,0,0,,0,0,,1,1,,0,0,
38,zOFxssGifq,VpvPjmHNp4f3c7RjAAAZ,Iota,one is blue,"[True, True, True, True, True, True, True, False]","[True, True, True, True, False, False, False, False]",0.625,1,There must be at least 1 blue cone of any size in any position or orientation.,There must be one and only one blue cone of any size in any orientation or position.,u,c,,0,1,,1,0,,0,0,,0,0,,0,0,
39,zOFxssGifq,VpvPjmHNp4f3c7RjAAAZ,Upsilon,none are upright,"[True, True, True, True, True, True, False, True]","[True, True, True, True, False, True, False, True]",0.625,0.75,There must be a red cone of any size on its side in any position,"There must be a red cone of any size on its side in any position, but there also can not be any upright red cones.",d,o,,0,0,,0,0,,0,1,,1,0,,0,0,
40,9FM5oWrm4Q,OmBy4yvY2pfWQmDgAAAK,Upsilon,none are upright,"[True, True, True, True, False, False, False, False]","[True, True, True, True, False, False, False, False]",1,1,None of the cones can be sitting upright.,None of the cones can be sitting upright.,c,c,,1,1,,0,0,,0,0,,0,0,,0,0,
41,9FM5oWrm4Q,OmBy4yvY2pfWQmDgAAAK,Omega,all are blue OR small,"[False, False, False, False, False, True, False, False]","[False, False, False, False, False, True, False, False]",0.375,0.375,There has to be one blue cone and two green cones. The green cones have to be small. One of the green cones has to touch the blue cone.,There has to be one blue cone and two green ones. The green ones have to be small.,d,d,,0,0,,0,0,,0,0,,1,1,,0,0,
42,9FM5oWrm4Q,OmBy4yvY2pfWQmDgAAAK,Iota,one is blue,"[True, True, True, False, False, False, True, False]","[True, True, True, False, False, False, True, False]",0.75,0.75,There has to be at least one of each color.,There has to be at least one of each color.,d,d,,0,0,,0,0,,0,0,,1,1,,0,0,
43,9FM5oWrm4Q,OmBy4yvY2pfWQmDgAAAK,Kappa,at least one is blue AND small,"[False, False, False, False, False, True, False, True]","[False, True, False, True, False, False, False, False]",0.25,0.75,I can't think of a rule.,Blue must be the smallest.,n,d,,0,0,,0,0,,0,0,,0,1,,1,0,
44,9FM5oWrm4Q,OmBy4yvY2pfWQmDgAAAK,Zeta,there is a red,"[False, False, False, False, False, False, True, True]","[True, True, True, False, False, False, False, False]",0.25,0.875,A green cone but be covering another cone.,There must be at least one green and a red cone present.,d,o,,0,0,,0,0,,0,1,,1,0,,0,0,
45,9FM5oWrm4Q,qqrRkUjR9e24cK98AAAJ,Upsilon,none are upright,"[True, False, False, False, False, False, False, False]","[False, False, False, False, True, False, False, True]",0.625,0.25,The red cone in size and stacked on each other plus blue cone on side far away from red conea.,Looking at his configurations he got some to emit radiation.  Large red cones next to each other with green or blue smaller cones nearby but not touching.,d,d,,0,0,,0,0,,0,0,,1,1,,0,0,
46,9FM5oWrm4Q,qqrRkUjR9e24cK98AAAJ,Omega,all are blue OR small,"[False, False, False, True, False, False, True, False]","[False, False, True, False, False, False, False, False]",0.5,0.625,I mainly believe large blue cones with small green and red cones will emit radiation ,I believe all large blue cones with green cones of smaller size will emit and deals small red cones near by will too.,d,d,,0,0,,0,0,,0,0,,1,1,,0,0,
47,9FM5oWrm4Q,qqrRkUjR9e24cK98AAAJ,Iota,one is blue,"[True, False, False, False, True, False, False, False]","[False, False, False, False, False, False, False, True]",0.5,0.375,large red cone with any other color smaller cone will emit.,Large red cone with smaller cones of different colors arranged any which way.,d,d,,0,0,,0,0,,0,0,,1,1,,0,0,
48,9FM5oWrm4Q,qqrRkUjR9e24cK98AAAJ,Kappa,at least one is blue AND small,"[True, True, True, True, False, False, False, False]","[False, False, False, True, False, False, False, False]",1,0.625,Small blue cone with any other size and color cone,can not think of anymore,c,c,,1,1,,0,0,,0,0,,0,0,,0,0,
49,9FM5oWrm4Q,qqrRkUjR9e24cK98AAAJ,Zeta,there is a red,"[True, True, True, False, False, False, False, False]","[False, False, True, False, False, False, False, False]",0.875,0.625,Any red and green cone sized cones will emit along with midsized blue cone with any color and size cones like red and green,can't think of anymore,o,o,,0,0,,0,0,,1,1,,0,0,,0,0,
50,n816L8nJZL,S1Rl8ZLjGuV9clZWAAAM,Upsilon,none are upright,"[False, False, False, False, True, False, True, True]","[True, False, False, True, False, False, False, False]",0.125,0.75,There needs to be at least two large red cones.,There must be at least two large red cones.,d,d,,0,0,,0,0,,0,0,,1,1,,0,0,
51,n816L8nJZL,S1Rl8ZLjGuV9clZWAAAM,Kappa,at least one is blue AND small,"[True, False, True, False, False, False, False, False]","[False, False, False, True, False, False, False, False]",0.75,0.625,There must be two blue cones.,There must be at least two blue cones.,d,d,,0,0,,0,0,,0,0,,1,1,,0,0,
52,n816L8nJZL,S1Rl8ZLjGuV9clZWAAAM,Zeta,there is a red,"[True, True, False, False, False, False, False, False]","[False, False, True, False, False, False, False, False]",0.75,0.625,There must be one red cone.,There must be one medium red cone,o,o,,0,0,,0,0,,1,1,,0,0,,0,0,
53,n816L8nJZL,S1Rl8ZLjGuV9clZWAAAM,Omega,all are blue OR small,"[False, False, False, False, False, True, False, False]","[False, True, False, False, False, False, False, False]",0.375,0.625,There must be two small green cones.,I cannot think of any rule that could be true.,d,n,,0,0,,0,0,,0,0,,1,0,,0,1,
54,n816L8nJZL,S1Rl8ZLjGuV9clZWAAAM,Iota,one is blue,"[True, True, False, False, False, False, False, False]","[False, False, False, False, False, True, True, False]",0.75,0.25,I cannot think of any rule to be true.,Cannot think of any rule that would be true.,n,n,,0,0,,0,0,,0,0,,0,0,,1,1,
55,n816L8nJZL,rn_VRK5iLPgev9f8AAAN,Upsilon,none are upright,"[True, False, True, False, True, False, False, False]","[False, True, False, False, True, False, False, False]",0.625,0.5,"I think the rule that applies is that the large red cone needs to be  touching the smaller one.
Also you should know this set-op was malfunctioning, here is a screenshot: https://imgur.com/blcBxe6
I couldn't click on the game at all. 
I emailed you and got no response, no I refreshed and this is what I got. Now the game is very small, I could barely make out what it is, here is another screenshot: 
https://imgur.com/X2hd2S9",I believe  large red cone needs to be  touching the smaller one. Also there has to be another cone of a different color nearby.,d,d,,0,0,,0,0,,0,0,,1,1,,0,0,
56,n816L8nJZL,rn_VRK5iLPgev9f8AAAN,Kappa,at least one is blue AND small,"[False, False, False, True, True, False, False, True]","[True, False, False, False, False, False, False, False]",0.375,0.625,I think the rule that applies is that there has to be 2 blue cones along with at least one green.,There has got to be at least one red cone in addition to one large green cone.,d,d,,0,0,,0,0,,0,0,,1,1,,0,0,
57,n816L8nJZL,rn_VRK5iLPgev9f8AAAN,Zeta,there is a red,"[True, True, True, True, False, False, False, False]","[False, False, True, False, True, False, False, False]",1,0.5,"There has got to be at least one red cone, also one small cone of another color.","There has got to be at least one red BIG cone, also one small cone of another color.",o,o,,0,0,,0,0,,1,1,,0,0,,0,0,
58,n816L8nJZL,rn_VRK5iLPgev9f8AAAN,Omega,all are blue OR small,"[False, True, False, True, False, False, True, False]","[False, False, False, False, False, True, False, False]",0.625,0.375,"There has got to be at least one big blue cone, also one small cone of another color.","There has got to be at least one big blue cone, and one small cone of the same or a different color, they also must be standing.",d,d,,0,0,,0,0,,0,0,,1,1,,0,0,
59,n816L8nJZL,rn_VRK5iLPgev9f8AAAN,Iota,one is blue,"[False, True, False, False, True, True, True, False]","[True, False, False, False, False, False, False, False]",0.25,0.625,"There has got to be at least one red cone, also one small blue cone.","There has got to be at least one red cone, also one small blue cone. Also the red cone must be large and other cones must be smaller.",d,d,,0,0,,0,0,,0,0,,1,1,,0,0,
60,mi47ypacNU,kHHm-H0mTQUFgweSAAAP,Omega,all are blue OR small,"[False, False, False, True, False, False, False, False]","[False, False, False, True, False, False, False, False]",0.625,0.625,There must be at least one blue cone and there must not be a green cone of medium or larger,There must be at least one blue cone and no green cone can be larger than small.,d,d,,0,0,,0,0,,0,0,,1,1,,0,0,
61,mi47ypacNU,kHHm-H0mTQUFgweSAAAP,Zeta,there is a red,"[True, True, True, True, False, False, False, False]","[True, True, True, True, False, False, False, False]",1,1,There must be at least one red cone,There must be at least one red cone,c,c,,1,1,,0,0,,0,0,,0,0,,0,0,
62,mi47ypacNU,kHHm-H0mTQUFgweSAAAP,Iota,one is blue,"[True, True, True, False, True, True, True, False]","[True, True, True, False, False, False, True, False]",0.5,0.75,At least two cones of different colors must be touching,There must be a green cone.,d,d,,0,0,,0,0,,0,0,,1,1,,0,0,
63,mi47ypacNU,kHHm-H0mTQUFgweSAAAP,Kappa,at least one is blue AND small,"[True, True, False, False, False, False, False, False]","[True, True, True, False, False, False, False, False]",0.75,0.875,A small cone must be in a large one of the same color,A large cone and a small cone must be touching and no other cones must be present.,d,d,,0,0,,0,0,,0,0,,1,1,,0,0,
64,mi47ypacNU,kHHm-H0mTQUFgweSAAAP,Upsilon,none are upright,"[True, True, True, True, False, False, False, False]","[True, True, True, True, False, False, False, False]",1,1,No cone must be mostly upright,No cones can be facing upwards,c,c,,1,1,,0,0,,0,0,,0,0,,0,0,
65,mi47ypacNU,6gZy2DmjWY9DADshAAAO,Omega,all are blue OR small,"[False, False, False, True, False, False, False, False]","[False, False, True, False, False, False, True, False]",0.625,0.5,Maybe there must be one medium blue cone and small cones of a different color?,I have no idea...all my ideas were disproved ,d,n,,0,0,,0,0,,0,0,,1,0,,0,1,
66,mi47ypacNU,6gZy2DmjWY9DADshAAAO,Zeta,there is a red,"[True, True, True, True, False, False, False, False]","[True, True, True, True, False, False, False, False]",1,1,There must be at least one red cone.,There must be at least one red cone.,c,c,,1,1,,0,0,,0,0,,0,0,,0,0,
67,mi47ypacNU,6gZy2DmjWY9DADshAAAO,Iota,one is blue,"[False, False, False, True, False, False, False, False]","[False, False, False, True, False, False, False, False]",0.625,0.625,There must be at least 2 cones and there can only be one cone of each color.,There must be at least 2 cones but there cannot be more than one cone of any given color.,d,d,,0,0,,0,0,,0,0,,1,1,,0,0,
